"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3000","loginWithValidCredentials","Selenium TestNG Suite","Fri Feb 06 00:47:13 IST 2026","passed","Fri Feb 06 00:47:16 IST 2026","Tests.LoginPageTest","UI Tests","Tests.LoginPageTest","loginWithValidCredentials"
"","4029","Searchfunctionality","Selenium TestNG Suite","Fri Feb 06 01:09:02 IST 2026","failed","Fri Feb 06 01:09:06 IST 2026","Tests.SearchPageTest","UI Tests","Tests.SearchPageTest","Searchfunctionality"
"","3033","loginWithValidCredentials","Selenium TestNG Suite","Fri Feb 06 00:47:24 IST 2026","passed","Fri Feb 06 00:47:27 IST 2026","Tests.LoginPageTest","UI Tests","Tests.LoginPageTest","loginWithValidCredentials"
"","3340","Searchfunctionality","Selenium TestNG Suite","Fri Feb 06 01:09:25 IST 2026","failed","Fri Feb 06 01:09:28 IST 2026","Tests.SearchPageTest","UI Tests","Tests.SearchPageTest","Searchfunctionality"
